From Date,To Date,PM10,Temp
11-04-2018,12-04-2018,None,None
12-04-2018,13-04-2018,None,None
13-04-2018,14-04-2018,None,32.63
14-04-2018,15-04-2018,None,None
15-04-2018,16-04-2018,None,None
16-04-2018,17-04-2018,None,32.31
17-04-2018,18-04-2018,None,32.29
18-04-2018,19-04-2018,None,32.96
19-04-2018,20-04-2018,None,32.09
20-04-2018,21-04-2018,None,30.67
21-04-2018,22-04-2018,None,34.21
22-04-2018,23-04-2018,None,34.37
23-04-2018,24-04-2018,None,None
24-04-2018,25-04-2018,None,None
25-04-2018,26-04-2018,None,None
26-04-2018,27-04-2018,None,32.11
27-04-2018,28-04-2018,None,None
28-04-2018,29-04-2018,None,31.5
29-04-2018,30-04-2018,None,None
30-04-2018,01-05-2018,None,35.22
01-05-2018,02-05-2018,None,None
02-05-2018,03-05-2018,None,31.62
03-05-2018,04-05-2018,None,None
04-05-2018,05-05-2018,None,None
05-05-2018,06-05-2018,None,32.99
06-05-2018,07-05-2018,None,None
07-05-2018,08-05-2018,None,32.3
08-05-2018,09-05-2018,None,None
09-05-2018,10-05-2018,None,35.16
10-05-2018,11-05-2018,None,None
11-05-2018,12-05-2018,None,32.26
12-05-2018,13-05-2018,None,None
13-05-2018,14-05-2018,None,None
14-05-2018,15-05-2018,None,None
15-05-2018,16-05-2018,None,None
16-05-2018,17-05-2018,None,33.59
17-05-2018,18-05-2018,None,None
18-05-2018,19-05-2018,None,None
19-05-2018,20-05-2018,None,None
20-05-2018,21-05-2018,None,None
21-05-2018,22-05-2018,None,None
22-05-2018,23-05-2018,None,None
23-05-2018,24-05-2018,None,None
24-05-2018,25-05-2018,None,19.27
25-05-2018,26-05-2018,None,None
26-05-2018,27-05-2018,None,30.02
27-05-2018,28-05-2018,None,None
28-05-2018,29-05-2018,None,None
29-05-2018,30-05-2018,None,31.96
30-05-2018,31-05-2018,None,None
31-05-2018,01-06-2018,None,None
01-06-2018,02-06-2018,None,None
02-06-2018,03-06-2018,None,None
03-06-2018,04-06-2018,None,None
04-06-2018,05-06-2018,None,None
05-06-2018,06-06-2018,None,None
06-06-2018,07-06-2018,None,35.8
07-06-2018,08-06-2018,None,30.29
08-06-2018,09-06-2018,None,None
09-06-2018,10-06-2018,None,None
10-06-2018,11-06-2018,None,None
11-06-2018,12-06-2018,None,None
12-06-2018,13-06-2018,None,None
13-06-2018,14-06-2018,None,34.73
14-06-2018,15-06-2018,None,None
15-06-2018,16-06-2018,None,34.36
16-06-2018,17-06-2018,None,None
17-06-2018,18-06-2018,None,None
18-06-2018,19-06-2018,None,None
19-06-2018,20-06-2018,None,30.46
20-06-2018,21-06-2018,None,None
21-06-2018,22-06-2018,None,None
22-06-2018,23-06-2018,None,None
23-06-2018,24-06-2018,None,None
24-06-2018,25-06-2018,None,None
25-06-2018,26-06-2018,None,32.24
26-06-2018,27-06-2018,None,None
27-06-2018,28-06-2018,None,None
28-06-2018,29-06-2018,None,None
29-06-2018,30-06-2018,None,None
30-06-2018,01-07-2018,None,None
01-07-2018,02-07-2018,None,None
02-07-2018,03-07-2018,None,33.42
03-07-2018,04-07-2018,None,None
04-07-2018,05-07-2018,None,None
05-07-2018,06-07-2018,None,None
06-07-2018,07-07-2018,None,None
07-07-2018,08-07-2018,None,31.21
08-07-2018,09-07-2018,None,None
09-07-2018,10-07-2018,None,None
10-07-2018,11-07-2018,None,None
11-07-2018,12-07-2018,None,None
12-07-2018,13-07-2018,None,33.45
13-07-2018,14-07-2018,None,None
14-07-2018,15-07-2018,None,None
15-07-2018,16-07-2018,None,31.01
16-07-2018,17-07-2018,None,None
17-07-2018,18-07-2018,None,None
18-07-2018,19-07-2018,None,None
19-07-2018,20-07-2018,None,None
20-07-2018,21-07-2018,None,None
21-07-2018,22-07-2018,None,31.07
22-07-2018,23-07-2018,None,None
23-07-2018,24-07-2018,None,None
24-07-2018,25-07-2018,None,None
25-07-2018,26-07-2018,None,None
26-07-2018,27-07-2018,None,None
27-07-2018,28-07-2018,None,None
28-07-2018,29-07-2018,None,32.89
29-07-2018,30-07-2018,None,None
30-07-2018,31-07-2018,None,None
31-07-2018,01-08-2018,None,None
01-08-2018,02-08-2018,None,None
02-08-2018,03-08-2018,None,31.59
03-08-2018,04-08-2018,None,31.35
04-08-2018,05-08-2018,None,None
05-08-2018,06-08-2018,None,None
06-08-2018,07-08-2018,None,None
07-08-2018,08-08-2018,None,None
08-08-2018,09-08-2018,None,None
09-08-2018,10-08-2018,None,None
10-08-2018,11-08-2018,None,31.14
11-08-2018,12-08-2018,None,None
12-08-2018,13-08-2018,None,None
13-08-2018,14-08-2018,None,None
14-08-2018,15-08-2018,None,None
15-08-2018,16-08-2018,None,None
16-08-2018,17-08-2018,None,None
17-08-2018,18-08-2018,None,None
18-08-2018,19-08-2018,None,None
19-08-2018,20-08-2018,None,None
20-08-2018,21-08-2018,None,32.26
21-08-2018,22-08-2018,None,None
22-08-2018,23-08-2018,None,36.29
23-08-2018,24-08-2018,None,None
24-08-2018,25-08-2018,None,None
25-08-2018,26-08-2018,None,None
26-08-2018,27-08-2018,None,None
27-08-2018,28-08-2018,None,28.03
28-08-2018,29-08-2018,None,27.83
29-08-2018,30-08-2018,None,28.67
30-08-2018,31-08-2018,None,30.18
31-08-2018,01-09-2018,None,27.22
01-09-2018,02-09-2018,None,28.12
02-09-2018,03-09-2018,None,28.55
03-09-2018,04-09-2018,None,29.75
04-09-2018,05-09-2018,None,30.05
05-09-2018,06-09-2018,None,30.02
06-09-2018,07-09-2018,None,30.34
07-09-2018,08-09-2018,None,30.54
08-09-2018,09-09-2018,None,30.3
09-09-2018,10-09-2018,None,30.56
10-09-2018,11-09-2018,None,30.22
11-09-2018,12-09-2018,None,29.9
12-09-2018,13-09-2018,None,29.79
