From Date,To Date,PM10,Temp
10-4-2018 ,11-4-2018 ,98.55,30.46
11-4-2018 ,12-4-2018 ,82.01,30.3
12-4-2018 ,13-04-2018,106.25,30.49
13-04-2018,14-04-2018,75.21,30.33
14-04-2018,15-04-2018,77.75,30.43
15-04-2018,16-04-2018,78.78,30.23
16-04-2018,17-04-2018,116.99,30.54
17-04-2018,18-04-2018,97.84,30.42
18-04-2018,19-04-2018,142.52,30.56
19-04-2018,20-04-2018,143.71,30.38
20-04-2018,21-04-2018,139.06,30.28
21-04-2018,22-04-2018,134.82,30.43
22-04-2018,23-04-2018,127.29,30.35
23-04-2018,24-04-2018,101.51,30.37
24-04-2018,25-04-2018,127.3,30.53
25-04-2018,26-04-2018,98.91,30.29
26-04-2018,27-04-2018,126.28,30.17
27-04-2018,28-04-2018,105.87,30.64
28-04-2018,29-04-2018,106.62,30.24
29-04-2018,30-04-2018,114.24,30.44
30-04-2018,1-5-2018 ,127.11,30.47
1-5-2018 ,2-5-2018 ,141.22,30.33
2-5-2018 ,3-5-2018 ,106.28,30.32
3-5-2018 ,4-5-2018 ,98.8,30.42
4-5-2018 ,5-5-2018 ,76.19,30.42
5-5-2018 ,6-5-2018 ,85.81,30.22
6-5-2018 ,7-5-2018 ,102.09,30.41
7-5-2018 ,8-5-2018 ,112.58,30.45
8-5-2018 ,9-5-2018 ,129.32,30.42
9-5-2018 ,10-5-2018 ,112.44,30.5
10-5-2018 ,11-5-2018 ,68.13,30.29
11-5-2018 ,12-5-2018 ,102.19,30.2
12-5-2018 ,13-05-2018,107.41,30.2
13-05-2018,14-05-2018,102.38,30.09
14-05-2018,15-05-2018,94.25,30.57
15-05-2018,16-05-2018,58.15,30.4
16-05-2018,17-05-2018,119.78,30.25
17-05-2018,18-05-2018,140.09,30.59
18-05-2018,19-05-2018,124.99,30.37
19-05-2018,20-05-2018,165.91,30.51
20-05-2018,21-05-2018,None,None
21-05-2018,22-05-2018,158.92,30.37
22-05-2018,23-05-2018,131.09,30.38
23-05-2018,24-05-2018,131.85,30.54
24-05-2018,25-05-2018,112.74,30.6
25-05-2018,26-05-2018,111.05,30.21
26-05-2018,27-05-2018,82.48,30.31
27-05-2018,28-05-2018,78.89,30.36
28-05-2018,29-05-2018,93.47,30.27
29-05-2018,30-05-2018,106.59,30.15
30-05-2018,31-05-2018,114.04,30.53
31-05-2018,1-6-2018 ,105.27,30.61
1-6-2018 ,2-6-2018 ,118.55,30.36
2-6-2018 ,3-6-2018 ,101.52,30.07
3-6-2018 ,4-6-2018 ,105.23,30.12
4-6-2018 ,5-6-2018 ,100.19,30.25
5-6-2018 ,6-6-2018 ,98.73,30.39
6-6-2018 ,7-6-2018 ,104.42,30.36
7-6-2018 ,8-6-2018 ,62.44,30.23
8-6-2018 ,9-6-2018 ,53.64,30.19
9-6-2018 ,10-6-2018 ,65.5,30.11
10-6-2018 ,11-6-2018 ,51.4,30.14
11-6-2018 ,12-6-2018 ,80.94,30.3
12-6-2018 ,13-06-2018,105.31,30.32
13-06-2018,14-06-2018,135.3,30.13
14-06-2018,15-06-2018,120.66,30.13
15-06-2018,16-06-2018,117.97,30.3
16-06-2018,17-06-2018,88.85,30.23
17-06-2018,18-06-2018,91.23,30.24
18-06-2018,19-06-2018,66.8,30.38
19-06-2018,20-06-2018,45.55,30.41
20-06-2018,21-06-2018,52.23,30.53
21-06-2018,22-06-2018,59.94,30.47
22-06-2018,23-06-2018,61.38,30.28
23-06-2018,24-06-2018,64.62,30.37
24-06-2018,25-06-2018,57.44,30.27
25-06-2018,26-06-2018,62.56,30.26
26-06-2018,27-06-2018,57.51,30.66
27-06-2018,28-06-2018,62.1,30.19
28-06-2018,29-06-2018,68.85,30.34
29-06-2018,30-06-2018,84.38,30.29
30-06-2018,1-7-2018 ,84.98,30.44
1-7-2018 ,2-7-2018 ,67.41,30.2
2-7-2018 ,3-7-2018 ,65.08,30.43
3-7-2018 ,4-7-2018 ,62.81,30.26
4-7-2018 ,5-7-2018 ,79.06,30.31
5-7-2018 ,6-7-2018 ,69.12,30.17
6-7-2018 ,7-7-2018 ,72.67,30.35
7-7-2018 ,8-7-2018 ,86.27,30.2
8-7-2018 ,9-7-2018 ,85.87,30.03
9-7-2018 ,10-7-2018 ,54.73,30.05
10-7-2018 ,11-7-2018 ,51.62,30.21
11-7-2018 ,12-7-2018 ,55.53,30.24
12-7-2018 ,13-07-2018,19.84,30.27
13-07-2018,14-07-2018,39.89,30.1
14-07-2018,15-07-2018,73.36,30.15
15-07-2018,16-07-2018,51.66,30.17
16-07-2018,17-07-2018,22.68,30.24
17-07-2018,18-07-2018,35.06,30.45
18-07-2018,19-07-2018,67,30.42
19-07-2018,20-07-2018,53.22,30.01
20-07-2018,21-07-2018,45.61,30.23
21-07-2018,22-07-2018,73.09,30.13
22-07-2018,23-07-2018,69,30.16
23-07-2018,24-07-2018,71.09,30.22
24-07-2018,25-07-2018,63.36,30.14
25-07-2018,26-07-2018,78.12,30.1
26-07-2018,27-07-2018,65.75,29.99
27-07-2018,28-07-2018,55.16,30.36
28-07-2018,29-07-2018,82.97,30.53
29-07-2018,30-07-2018,109.37,30.24
30-07-2018,31-07-2018,137.83,30.35
31-07-2018,1-8-2018 ,99.15,30.52
1-8-2018 ,2-8-2018 ,91.95,30.41
2-8-2018 ,3-8-2018 ,97.62,30.25
3-8-2018 ,4-8-2018 ,132.61,30.3
4-8-2018 ,5-8-2018 ,108.29,30.29
5-8-2018 ,6-8-2018 ,82.37,30.21
6-8-2018 ,7-8-2018 ,101.15,30.18
7-8-2018 ,8-8-2018 ,75.46,30
8-8-2018 ,9-8-2018 ,68.74,30.01
9-8-2018 ,10-8-2018 ,46.65,30.18
10-8-2018 ,11-8-2018 ,55.22,30.17
11-8-2018 ,12-8-2018 ,48.63,30.05
12-8-2018 ,13-08-2018,52.48,30
13-08-2018,14-08-2018,30.26,29.98
14-08-2018,15-08-2018,63.49,30.05
15-08-2018,16-08-2018,79.95,29.91
16-08-2018,17-08-2018,13.88,29.92
17-08-2018,18-08-2018,65.69,29.94
18-08-2018,19-08-2018,82.83,30.03
19-08-2018,20-08-2018,79.82,30.17
20-08-2018,21-08-2018,60.8,30.17
21-08-2018,22-08-2018,36.19,30.09
22-08-2018,23-08-2018,49.81,29.96
23-08-2018,24-08-2018,70.87,29.97
24-08-2018,25-08-2018,92.09,29.85
25-08-2018,26-08-2018,100.64,30.03
26-08-2018,27-08-2018,86.91,29.77
27-08-2018,28-08-2018,75.17,30.04
28-08-2018,29-08-2018,62.57,29.86
29-08-2018,30-08-2018,99.03,30.06
30-08-2018,31-08-2018,95.75,30.11
31-08-2018,1-9-2018 ,78.99,30.07
1-9-2018 ,2-9-2018 ,93.53,30
2-9-2018 ,3-9-2018 ,89.07,29.95
3-9-2018 ,4-9-2018 ,69.87,30.04
4-9-2018 ,5-9-2018 ,84.69,30.03
5-9-2018 ,6-9-2018 ,108.3,30.29
6-9-2018 ,7-9-2018 ,88.78,30.29
7-9-2018 ,8-9-2018 ,104.9,30.29
8-9-2018 ,9-9-2018 ,86.58,30.17
9-9-2018 ,10-9-2018 ,112.9,30.15
10-9-2018 ,11-9-2018 ,82.23,30.34
11-9-2018 ,12-9-2018 ,63.07,30.57
12-9-2018 ,13-09-2018,76.77,30.21
13-09-2018,14-09-2018,88.59,30.34
14-09-2018,15-09-2018,93.01,30.31
15-09-2018,16-09-2018,101.24,30.31
16-09-2018,17-09-2018,80.87,30.1
17-09-2018,18-09-2018,94.85,30.01
18-09-2018,19-09-2018,63.94,30.29
19-09-2018,20-09-2018,93.44,30.22
20-09-2018,21-09-2018,123.34,30.09
21-09-2018,22-09-2018,96.07,30.1
22-09-2018,23-09-2018,73,30.13
23-09-2018,24-09-2018,70.34,30.13
24-09-2018,25-09-2018,69.73,30.22
25-09-2018,26-09-2018,105.82,30.27
26-09-2018,27-09-2018,133.09,30.13
27-09-2018,28-09-2018,89.59,30.29
28-09-2018,29-09-2018,89.71,30.23
29-09-2018,30-09-2018,111.48,30.17
30-09-2018,1-10-2018 ,98.21,30.35
1-10-2018 ,2-10-2018 ,95.03,30.21
2-10-2018 ,3-10-2018 ,77.66,30.23
3-10-2018 ,4-10-2018 ,91.59,30.35
4-10-2018 ,5-10-2018 ,90.71,30.18
5-10-2018 ,6-10-2018 ,107.59,30.22
6-10-2018 ,7-10-2018 ,129.85,30.11
7-10-2018 ,8-10-2018 ,127.29,29.96
8-10-2018 ,9-10-2018 ,130.15,30.07
9-10-2018 ,10-10-2018 ,124.28,30.14
10-10-2018 ,11-10-2018 ,143.61,30
11-10-2018 ,12-10-2018 ,138.59,29.95
12-10-2018 ,13-10-2018,121.23,29.98
13-10-2018,14-10-2018,112.11,30.15
14-10-2018,15-10-2018,80.59,30.04
15-10-2018,16-10-2018,80.88,30.12
16-10-2018,17-10-2018,59.48,30.02
17-10-2018,18-10-2018,44.61,29.9
18-10-2018,19-10-2018,45.45,30.03
19-10-2018,20-10-2018,72.36,30.09
20-10-2018,21-10-2018,107.71,29.9
21-10-2018,22-10-2018,108.96,30.06
22-10-2018,23-10-2018,146.21,30.14
23-10-2018,24-10-2018,136.37,29.97
24-10-2018,25-10-2018,117.25,30.18
25-10-2018,26-10-2018,92.48,29.85
26-10-2018,27-10-2018,90.53,29.54
27-10-2018,28-10-2018,118.29,29.32
28-10-2018,29-10-2018,76.34,29.44
29-10-2018,30-10-2018,77.46,29.2
30-10-2018,31-10-2018,70.89,29.44
31-10-2018,1-11-2018 ,83.24,29.16
1-11-2018 ,2-11-2018 ,80.06,29.16
