From Date,To Date,PM10,Temp
10-4-2018 ,11-4-2018 ,132.1,None
11-4-2018 ,12-4-2018 ,102.91,None
12-4-2018 ,13-04-2018,87.09,None
13-04-2018,14-04-2018,61.61,None
14-04-2018,15-04-2018,90.6,None
15-04-2018,16-04-2018,117.24,None
16-04-2018,17-04-2018,137.8,None
17-04-2018,18-04-2018,82.98,None
18-04-2018,19-04-2018,86.76,None
19-04-2018,20-04-2018,139.14,None
20-04-2018,21-04-2018,215.74,None
21-04-2018,22-04-2018,84.01,None
22-04-2018,23-04-2018,76.28,None
23-04-2018,24-04-2018,119.45,None
24-04-2018,25-04-2018,117.8,None
25-04-2018,26-04-2018,163.91,None
26-04-2018,27-04-2018,190.43,None
27-04-2018,28-04-2018,214.94,None
28-04-2018,29-04-2018,186,None
29-04-2018,30-04-2018,157.51,None
30-04-2018,1-5-2018 ,193.91,None
1-5-2018 ,2-5-2018 ,180.61,None
2-5-2018 ,3-5-2018 ,191.51,None
3-5-2018 ,4-5-2018 ,139.34,None
4-5-2018 ,5-5-2018 ,134.44,None
5-5-2018 ,6-5-2018 ,163.91,None
6-5-2018 ,7-5-2018 ,125.75,None
7-5-2018 ,8-5-2018 ,97.66,None
8-5-2018 ,9-5-2018 ,84.11,None
9-5-2018 ,10-5-2018 ,89.71,None
10-5-2018 ,11-5-2018 ,166.61,None
11-5-2018 ,12-5-2018 ,184.72,None
12-5-2018 ,13-05-2018,219.6,None
13-05-2018,14-05-2018,115.14,None
14-05-2018,15-05-2018,84.5,None
15-05-2018,16-05-2018,123.44,None
16-05-2018,17-05-2018,162.03,33.24
17-05-2018,18-05-2018,206.64,31.48
18-05-2018,19-05-2018,198.41,32.03
19-05-2018,20-05-2018,186.42,31.16
20-05-2018,21-05-2018,135.2,32.32
21-05-2018,22-05-2018,135.28,32.72
22-05-2018,23-05-2018,154.62,34.78
23-05-2018,24-05-2018,151.81,34.18
24-05-2018,25-05-2018,132.37,33.86
25-05-2018,26-05-2018,142.76,34.21
26-05-2018,27-05-2018,170.02,35.85
27-05-2018,28-05-2018,230.77,36.33
28-05-2018,29-05-2018,201.56,35.89
29-05-2018,30-05-2018,226.31,36.27
30-05-2018,31-05-2018,231.42,35.07
31-05-2018,1-6-2018 ,205.21,35.3
1-6-2018 ,2-6-2018 ,255.31,33.32
2-6-2018 ,3-6-2018 ,122.91,31.35
3-6-2018 ,4-6-2018 ,131.66,34.06
4-6-2018 ,5-6-2018 ,159.06,35.45
5-6-2018 ,6-6-2018 ,149.78,35.12
6-6-2018 ,7-6-2018 ,81.65,30.54
7-6-2018 ,8-6-2018 ,122.62,34.62
8-6-2018 ,9-6-2018 ,163.18,35.71
9-6-2018 ,10-6-2018 ,94.87,29.12
10-6-2018 ,11-6-2018 ,105.01,32.3
11-6-2018 ,12-6-2018 ,135.97,34.19
12-6-2018 ,13-06-2018,163.83,36.13
13-06-2018,14-06-2018,400.07,36.77
14-06-2018,15-06-2018,757.09,35.98
15-06-2018,16-06-2018,790.59,34.42
16-06-2018,17-06-2018,346.33,27.14
17-06-2018,18-06-2018,107.96,25.38
18-06-2018,19-06-2018,156.34,28.24
19-06-2018,20-06-2018,158.16,30.81
20-06-2018,21-06-2018,144.43,33.29
21-06-2018,22-06-2018,121.93,33.26
22-06-2018,23-06-2018,101.08,35.88
23-06-2018,24-06-2018,110.92,31.32
24-06-2018,25-06-2018,90.35,33.76
25-06-2018,26-06-2018,129.07,34.96
26-06-2018,27-06-2018,130.88,34.03
27-06-2018,28-06-2018,88.65,27.57
28-06-2018,29-06-2018,39.61,25.34
29-06-2018,30-06-2018,76.61,29.25
30-06-2018,1-7-2018 ,91.28,31.69
1-7-2018 ,2-7-2018 ,95.73,31.71
2-7-2018 ,3-7-2018 ,76.4,30.21
3-7-2018 ,4-7-2018 ,66.62,26.77
4-7-2018 ,5-7-2018 ,55.74,26.84
5-7-2018 ,6-7-2018 ,66.78,28.17
6-7-2018 ,7-7-2018 ,69.68,30.28
7-7-2018 ,8-7-2018 ,78.6,32.31
8-7-2018 ,9-7-2018 ,89.58,33.42
9-7-2018 ,10-7-2018 ,121.53,34.48
10-7-2018 ,11-7-2018 ,94.9,33.31
11-7-2018 ,12-7-2018 ,75.52,31.49
12-7-2018 ,13-07-2018,58.03,31.54
13-07-2018,14-07-2018,24.88,28.49
14-07-2018,15-07-2018,47.38,30.58
15-07-2018,16-07-2018,43.45,31.63
16-07-2018,17-07-2018,65.29,29.77
17-07-2018,18-07-2018,70.67,28.71
18-07-2018,19-07-2018,84.38,28.43
19-07-2018,20-07-2018,94.52,30.42
20-07-2018,21-07-2018,71.99,31.32
21-07-2018,22-07-2018,61.79,30.37
22-07-2018,23-07-2018,36.74,29.33
23-07-2018,24-07-2018,77.7,30.34
24-07-2018,25-07-2018,87.17,30.88
25-07-2018,26-07-2018,84.12,30.81
26-07-2018,27-07-2018,62.1,28.37
27-07-2018,28-07-2018,50.48,28.74
28-07-2018,29-07-2018,51.34,28.46
29-07-2018,30-07-2018,58.94,29.97
30-07-2018,31-07-2018,43.34,30.61
31-07-2018,1-8-2018 ,54.74,30.76
1-8-2018 ,2-8-2018 ,73.21,31.16
2-8-2018 ,3-8-2018 ,95.68,31.76
3-8-2018 ,4-8-2018 ,82.76,31.42
4-8-2018 ,5-8-2018 ,95.49,31.81
5-8-2018 ,6-8-2018 ,59.15,31.67
6-8-2018 ,7-8-2018 ,21.96,27.38
7-8-2018 ,8-8-2018 ,17.81,25.36
8-8-2018 ,9-8-2018 ,45.26,28.07
9-8-2018 ,10-8-2018 ,39.61,29.26
10-8-2018 ,11-8-2018 ,54.76,30.6
11-8-2018 ,12-8-2018 ,39.57,30.01
12-8-2018 ,13-08-2018,62.82,30.47
13-08-2018,14-08-2018,44.21,29.52
14-08-2018,15-08-2018,46.77,29.91
15-08-2018,16-08-2018,40.65,29.66
16-08-2018,17-08-2018,63.59,30.92
17-08-2018,18-08-2018,58.33,29.61
18-08-2018,19-08-2018,53.33,28.99
19-08-2018,20-08-2018,29.72,29.99
20-08-2018,21-08-2018,45.07,30.95
21-08-2018,22-08-2018,40.4,30.92
22-08-2018,23-08-2018,48.01,29.62
23-08-2018,24-08-2018,35.82,29.38
24-08-2018,25-08-2018,43.55,30.62
25-08-2018,26-08-2018,37.61,30.65
26-08-2018,27-08-2018,36.14,30.98
27-08-2018,28-08-2018,45.57,31.18
28-08-2018,29-08-2018,57.79,31.15
29-08-2018,30-08-2018,38.15,30.28
30-08-2018,31-08-2018,44.1,30.92
31-08-2018,1-9-2018 ,59.91,31.7
1-9-2018 ,2-9-2018 ,57.03,30.89
2-9-2018 ,3-9-2018 ,45.85,28.24
3-9-2018 ,4-9-2018 ,47.34,27.7
4-9-2018 ,5-9-2018 ,39.03,29.18
5-9-2018 ,6-9-2018 ,52.12,30.35
6-9-2018 ,7-9-2018 ,51.91,31.13
7-9-2018 ,8-9-2018 ,36.92,27.73
8-9-2018 ,9-9-2018 ,18.6,28.69
9-9-2018 ,10-9-2018 ,43.18,29.27
10-9-2018 ,11-9-2018 ,27.21,29.16
11-9-2018 ,12-9-2018 ,24.99,29.79
12-9-2018 ,13-09-2018,39.41,28.57
13-09-2018,14-09-2018,59.4,28.99
14-09-2018,15-09-2018,53.47,28.93
15-09-2018,16-09-2018,37.91,28.84
16-09-2018,17-09-2018,28.41,27.96
17-09-2018,18-09-2018,42.99,27.91
18-09-2018,19-09-2018,67.43,27.97
19-09-2018,20-09-2018,91.48,28.04
20-09-2018,21-09-2018,111.52,29.36
21-09-2018,22-09-2018,101.91,30.45
22-09-2018,23-09-2018,56.08,23.69
23-09-2018,24-09-2018,None,23.64
24-09-2018,25-09-2018,23.27,20.51
25-09-2018,26-09-2018,41.15,24.78
26-09-2018,27-09-2018,55.74,26.79
27-09-2018,28-09-2018,78.74,27.2
28-09-2018,29-09-2018,93.7,27.96
29-09-2018,30-09-2018,21.32,24.24
30-09-2018,1-10-2018 ,22.9,25.79
1-10-2018 ,2-10-2018 ,34.66,26.69
2-10-2018 ,3-10-2018 ,36.1,27
3-10-2018 ,4-10-2018 ,32.95,27.08
4-10-2018 ,5-10-2018 ,41.72,26.59
5-10-2018 ,6-10-2018 ,53.7,26
6-10-2018 ,7-10-2018 ,91.43,24.22
7-10-2018 ,8-10-2018 ,111.52,24.97
8-10-2018 ,9-10-2018 ,135.83,25.39
9-10-2018 ,10-10-2018 ,142.76,26.54
10-10-2018 ,11-10-2018 ,125.68,26.58
11-10-2018 ,12-10-2018 ,78.27,25.29
12-10-2018 ,13-10-2018,78.51,23.78
13-10-2018,14-10-2018,61.74,23.65
14-10-2018,15-10-2018,88.12,23.32
15-10-2018,16-10-2018,86.32,23.66
16-10-2018,17-10-2018,112.01,24.76
17-10-2018,18-10-2018,113.13,25.39
18-10-2018,19-10-2018,136.01,24.54
19-10-2018,20-10-2018,80.2,22.87
20-10-2018,21-10-2018,93.24,22.91
21-10-2018,22-10-2018,77.54,22.16
22-10-2018,23-10-2018,116.17,22.4
23-10-2018,24-10-2018,99.02,23.35
24-10-2018,25-10-2018,98.78,22.78
25-10-2018,26-10-2018,87.29,21.17
26-10-2018,27-10-2018,105.54,19.09
27-10-2018,28-10-2018,130,24.71
28-10-2018,29-10-2018,120.39,22.05
29-10-2018,30-10-2018,127.9,22.68
30-10-2018,31-10-2018,124.54,22.71
31-10-2018,1-11-2018 ,108.75,22.85
1-11-2018 ,2-11-2018 ,127.39,23.12
2-11-2018 ,3-11-2018 ,87.5,23.77
3-11-2018 ,4-11-2018 ,51.61,21.18
4-11-2018 ,5-11-2018 ,103.76,18.78
5-11-2018 ,6-11-2018 ,73.3,20.02
6-11-2018 ,7-11-2018 ,95.07,18.62
7-11-2018 ,8-11-2018 ,141.3,18.07
8-11-2018 ,9-11-2018 ,287.06,16.32
9-11-2018 ,10-11-2018 ,211.87,None
10-11-2018 ,11-11-2018 ,154.5,None
11-11-2018 ,12-11-2018 ,128.57,None
12-11-2018 ,13-11-2018,129,19.3
13-11-2018,14-11-2018,128.59,17.34
14-11-2018,15-11-2018,109.86,19.84
15-11-2018,16-11-2018,40.42,18.3
16-11-2018,17-11-2018,51.44,16.31
17-11-2018,18-11-2018,102.75,20.52
18-11-2018,19-11-2018,141.94,18.78
19-11-2018,20-11-2018,131.69,20.8
20-11-2018,21-11-2018,104.2,19.33
21-11-2018,22-11-2018,95.71,18.17
22-11-2018,23-11-2018,141.2,17.85
23-11-2018,24-11-2018,103.93,17.5
24-11-2018,25-11-2018,83.39,17.21
25-11-2018,26-11-2018,162.12,15.16
26-11-2018,27-11-2018,157.06,17.79
27-11-2018,28-11-2018,179.31,18.56
28-11-2018,29-11-2018,157,19.23
29-11-2018,30-11-2018,115.22,16.84
30-11-2018,1-12-2018 ,104.13,16.69
1-12-2018 ,2-12-2018 ,105.64,16.39
2-12-2018 ,3-12-2018 ,150.19,16.58
3-12-2018 ,4-12-2018 ,102.92,15.57
4-12-2018 ,5-12-2018 ,120.3,15.69
5-12-2018 ,6-12-2018 ,116.02,15.27
6-12-2018 ,7-12-2018 ,140.56,14.97
7-12-2018 ,8-12-2018 ,127.01,14.52
8-12-2018 ,9-12-2018 ,109.57,14.11
9-12-2018 ,10-12-2018 ,116.54,14.04
10-12-2018 ,11-12-2018 ,145.41,15.46
11-12-2018 ,12-12-2018 ,107.99,15.2
12-12-2018 ,13-12-2018,71.81,13.92
13-12-2018,14-12-2018,57.57,12.96
14-12-2018,15-12-2018,45.65,13.33
15-12-2018,16-12-2018,62.48,13.26
16-12-2018,17-12-2018,69.58,12.86
17-12-2018,18-12-2018,91.53,10.64
18-12-2018,19-12-2018,122.37,12.08
19-12-2018,20-12-2018,130.45,12.42
20-12-2018,21-12-2018,146.72,11.92
21-12-2018,22-12-2018,139.85,11.5
22-12-2018,23-12-2018,218.76,11.05
23-12-2018,24-12-2018,262.03,11.17
24-12-2018,25-12-2018,135.52,10.84
25-12-2018,26-12-2018,146.65,10
26-12-2018,27-12-2018,164.62,10.76
27-12-2018,28-12-2018,236.26,10
28-12-2018,29-12-2018,137.33,9.7
29-12-2018,30-12-2018,152.27,9.79
30-12-2018,31-12-2018,204.34,11.38
31-12-2018,1-1-2019 ,192.34,11.14
1-1-2019 ,2-1-2019 ,209.65,11.78
2-1-2019 ,3-1-2019 ,232.39,13.99
3-1-2019 ,4-1-2019 ,153.77,7.68
4-1-2019 ,5-1-2019 ,161.56,13.25
5-1-2019 ,6-1-2019 ,194.67,12.66
6-1-2019 ,7-1-2019 ,69.62,12.14
7-1-2019 ,8-1-2019 ,67.28,11.32
8-1-2019 ,9-1-2019 ,101.63,12.63
9-1-2019 ,10-1-2019 ,112.81,11.67
10-1-2019 ,11-1-2019 ,140.21,11.9
11-1-2019 ,12-1-2019 ,251.44,14.54
12-1-2019 ,13-01-2019,206.31,13.75
13-01-2019,14-01-2019,65.83,13.48
14-01-2019,15-01-2019,71.65,10.87
15-01-2019,16-01-2019,103.71,10.29
