From Date,To Date,PM10,Temp
10-4-2018 ,11-4-2018 ,124.92,None
11-4-2018 ,12-4-2018 ,159.09,None
12-4-2018 ,13-04-2018,158.16,None
13-04-2018,14-04-2018,144.02,None
14-04-2018,15-04-2018,135.96,None
15-04-2018,16-04-2018,146.77,None
16-04-2018,17-04-2018,171.9,None
17-04-2018,18-04-2018,155.03,None
18-04-2018,19-04-2018,181.63,None
19-04-2018,20-04-2018,179.94,None
20-04-2018,21-04-2018,194,None
21-04-2018,22-04-2018,196.66,None
22-04-2018,23-04-2018,185.32,None
23-04-2018,24-04-2018,177.68,None
24-04-2018,25-04-2018,171.57,None
25-04-2018,26-04-2018,168.94,None
26-04-2018,27-04-2018,182.44,None
27-04-2018,28-04-2018,181.55,None
28-04-2018,29-04-2018,199.29,None
29-04-2018,30-04-2018,227.86,None
30-04-2018,1-5-2018 ,313.13,None
1-5-2018 ,2-5-2018 ,163.9,None
2-5-2018 ,3-5-2018 ,184.22,None
3-5-2018 ,4-5-2018 ,158,None
4-5-2018 ,5-5-2018 ,202.85,None
5-5-2018 ,6-5-2018 ,222.48,None
6-5-2018 ,7-5-2018 ,133.66,None
7-5-2018 ,8-5-2018 ,174.73,34.26
8-5-2018 ,9-5-2018 ,289.05,34.87
9-5-2018 ,10-5-2018 ,149.81,37.81
10-5-2018 ,11-5-2018 ,118.93,None
11-5-2018 ,12-5-2018 ,95.32,None
12-5-2018 ,13-05-2018,152.6,None
13-05-2018,14-05-2018,230.07,None
14-05-2018,15-05-2018,222.68,None
15-05-2018,16-05-2018,226.53,36.62
16-05-2018,17-05-2018,262.68,35.92
17-05-2018,18-05-2018,211.06,35.11
18-05-2018,19-05-2018,252.15,35.01
19-05-2018,20-05-2018,248.93,35.09
20-05-2018,21-05-2018,249.37,35.12
21-05-2018,22-05-2018,168.73,35.39
22-05-2018,23-05-2018,118.57,35.77
23-05-2018,24-05-2018,195.37,35.98
24-05-2018,25-05-2018,96.38,36.01
25-05-2018,26-05-2018,96.08,35.15
26-05-2018,27-05-2018,114.01,35.62
27-05-2018,28-05-2018,112.79,37.2
28-05-2018,29-05-2018,115.47,37.03
29-05-2018,30-05-2018,97.27,35.8
30-05-2018,31-05-2018,143.46,33.15
31-05-2018,1-6-2018 ,135.35,32.16
1-6-2018 ,2-6-2018 ,116.4,32.86
2-6-2018 ,3-6-2018 ,117.79,34.3
3-6-2018 ,4-6-2018 ,62.45,34.04
4-6-2018 ,5-6-2018 ,57.26,35
5-6-2018 ,6-6-2018 ,74.37,35.26
6-6-2018 ,7-6-2018 ,88.88,35.68
7-6-2018 ,8-6-2018 ,96.89,35.13
8-6-2018 ,9-6-2018 ,161.64,33.06
9-6-2018 ,10-6-2018 ,102.76,32.29
10-6-2018 ,11-6-2018 ,105.86,32.44
11-6-2018 ,12-6-2018 ,124.49,32.38
12-6-2018 ,13-06-2018,192.17,31.26
13-06-2018,14-06-2018,182.5,30.91
14-06-2018,15-06-2018,219.13,30.35
15-06-2018,16-06-2018,115.5,30.3
