From Date,To Date,PM10,Temp
10-4-2018 ,11-4-2018 ,101.94,29.89
11-4-2018 ,12-4-2018 ,68.3,28.93
12-4-2018 ,13-04-2018,54.39,30.18
13-04-2018,14-04-2018,89.01,29.29
14-04-2018,15-04-2018,56.04,29.23
15-04-2018,16-04-2018,56.39,29.65
16-04-2018,17-04-2018,59.54,29.1
17-04-2018,18-04-2018,83.29,29.33
18-04-2018,19-04-2018,68.19,29.19
19-04-2018,20-04-2018,64.05,28.37
20-04-2018,21-04-2018,69.69,29.15
21-04-2018,22-04-2018,83.87,29.15
22-04-2018,23-04-2018,62.59,28.85
23-04-2018,24-04-2018,109.64,31.71
24-04-2018,25-04-2018,84.67,30.15
25-04-2018,26-04-2018,86.76,30.01
26-04-2018,27-04-2018,81.83,29.56
27-04-2018,28-04-2018,51.18,29.94
28-04-2018,29-04-2018,53.32,30.7
29-04-2018,30-04-2018,69.3,29.11
30-04-2018,1-5-2018 ,60.91,29.27
1-5-2018 ,2-5-2018 ,60.48,28.68
2-5-2018 ,3-5-2018 ,132.86,28.27
3-5-2018 ,4-5-2018 ,78.86,28.14
4-5-2018 ,5-5-2018 ,80.96,28.68
5-5-2018 ,6-5-2018 ,72.01,29.69
6-5-2018 ,7-5-2018 ,78.77,29.26
7-5-2018 ,8-5-2018 ,71.03,29.2
8-5-2018 ,9-5-2018 ,89.17,29.76
9-5-2018 ,10-5-2018 ,81.18,29.38
10-5-2018 ,11-5-2018 ,91.99,29.37
11-5-2018 ,12-5-2018 ,57.29,29.58
12-5-2018 ,13-05-2018,65.88,29.97
13-05-2018,14-05-2018,71.83,29.59
14-05-2018,15-05-2018,61.91,29.92
15-05-2018,16-05-2018,87.93,28.79
16-05-2018,17-05-2018,78.2,29.3
17-05-2018,18-05-2018,71.03,29.71
18-05-2018,19-05-2018,95.29,32.02
19-05-2018,20-05-2018,82.4,29.64
20-05-2018,21-05-2018,73.54,30.02
21-05-2018,22-05-2018,74.09,31.3
22-05-2018,23-05-2018,67.47,30.37
23-05-2018,24-05-2018,51.47,29.86
24-05-2018,25-05-2018,50.99,30.4
25-05-2018,26-05-2018,41.25,30.11
26-05-2018,27-05-2018,31.06,31.17
27-05-2018,28-05-2018,43.03,30.38
28-05-2018,29-05-2018,76.73,30.65
29-05-2018,30-05-2018,82.81,29.98
30-05-2018,31-05-2018,104.34,30.35
31-05-2018,1-6-2018 ,107.44,30.13
1-6-2018 ,2-6-2018 ,99.78,30.17
2-6-2018 ,3-6-2018 ,88.8,29.88
3-6-2018 ,4-6-2018 ,114.08,31.27
